"longitude","laitude","rescore"
130.025,30.075,-0.143594552879138
130.075,30.075,-0.145210384761735
129.875,30.025,-0.13845163808474
129.925,30.025,-0.137739753427654
129.975,30.025,-0.137977746423721
130.025,30.025,-0.143156146425953
130.075,30.025,-0.145481477034353
129.875,29.975,-0.136511589732512
129.925,29.975,-0.136567547595096
32.475,29.925,-0.0922977290481001
32.575,29.925,-0.0899031770365006
32.475,29.875,-0.103108516549212
32.525,29.875,-0.103397120150338
32.625,29.875,-0.0981992517747199
129.875,29.875,-0.132639762994456
32.475,29.825,-0.11709186743533
32.525,29.825,-0.108444209168859
32.625,29.825,-0.103896651758372
129.825,29.825,-0.13139420090979
129.875,29.825,-0.128533825945536
129.925,29.825,-0.129721444849515
32.425,29.775,-0.155355692831281
32.625,29.775,-0.117246490377555
32.375,29.725,-0.19977552178541
32.425,29.725,-0.181174344315426
32.675,29.725,-0.122224834413054
129.525,29.725,-0.144429477205343
32.375,29.675,-0.220055573895779
32.675,29.675,-0.132914529978955
129.525,29.675,-0.149870298237389
129.675,29.675,-0.144225026319249
129.725,29.675,-0.144403116784636
32.375,29.625,-0.240239869986604
32.575,29.625,-0.139712851517645
32.625,29.625,-0.128117370586253
32.675,29.625,-0.121849358803669
129.675,29.625,-0.149617910318969
129.725,29.625,-0.148635529726946
32.375,29.575,-0.246125974094513
32.675,29.575,-0.112186687959967
32.725,29.575,-0.102160411579882
32.375,29.525,-0.239899267358766
32.725,29.525,-0.0847316622071365
34.975,29.525,-0.0495200092370712
32.425,29.475,-0.190255240064967
32.475,29.475,-0.159856248919446
34.875,29.475,-0.0549601736509112
34.925,29.475,-0.05584945545268
34.975,29.475,-0.0521459084221052
48.225,29.475,-0.449940481590413
48.275,29.475,-0.444445248033451
48.325,29.475,-0.443706405152235
48.375,29.475,-0.453071223558358
129.575,29.475,-0.159071193819883
129.625,29.475,-0.158494356613245
32.475,29.425,-0.143969776217767
32.525,29.425,-0.123796122476534
32.775,29.425,-0.0537570324044352
34.875,29.425,-0.0676055973430115
34.975,29.425,-0.0560206674706381
48.275,29.425,-0.463988194097108
48.325,29.425,-0.457572740225505
48.375,29.425,-0.458763314017611
48.425,29.425,-0.454902621902686
129.575,29.425,-0.167043238976175
129.625,29.425,-0.167059531543088
32.525,29.375,-0.115395011686551
32.575,29.375,-0.0936132272545078
32.825,29.375,-0.0377736405566696
34.775,29.375,-0.101763076198295
34.825,29.375,-0.0873384659076921
34.975,29.375,-0.0655327670563778
47.875,29.375,-0.416860241123124
47.925,29.375,-0.457791035861411
48.375,29.375,-0.462392333291611
48.425,29.375,-0.452650660587981
48.475,29.375,-0.442908075335711
32.575,29.325,-0.0890070484493412
32.625,29.325,-0.0758885342046235
32.825,29.325,-0.0358222938915188
34.775,29.325,-0.111611515138418
34.925,29.325,-0.0819954671890932
47.875,29.325,-0.407903004291082
47.925,29.325,-0.439892769646023
50.325,29.325,-0.356834684352079
50.375,29.325,-0.352752451102068
32.575,29.275,-0.0939293039897043
32.625,29.275,-0.0742711901222117
32.825,29.275,-0.0357734940180611
32.875,29.275,-0.0300614880404956
34.775,29.275,-0.116619864992551
34.925,29.275,-0.0925634929454474
50.275,29.275,-0.343763871135338
50.325,29.275,-0.339162023656339
32.625,29.225,-0.0695719632658276
32.875,29.225,-0.0397017049938528
34.875,29.225,-0.116038316598548
34.925,29.225,-0.107658411840982
50.275,29.225,-0.329523960007842
50.325,29.225,-0.327668704164437
129.325,29.225,-0.202848501225751
32.625,29.175,-0.0710677113858178
32.675,29.175,-0.0607934463376725
32.975,29.175,-0.0669268380331642
34.725,29.175,-0.157463821674585
34.875,29.175,-0.123025319262661
34.925,29.175,-0.119108728547414
48.375,29.175,-0.442515800285761
129.175,29.175,-0.214514006209036
129.225,29.175,-0.214773265424252
32.675,29.125,-0.0603235870017058
32.975,29.125,-0.0762598361395258
33.025,29.125,-0.0761775768384831
34.675,29.125,-0.176163341246187
34.875,29.125,-0.129431765848084
129.175,29.125,-0.217103054947058
129.225,29.125,-0.219182638311799
32.675,29.075,-0.0621468909442542
33.075,29.075,-0.0843554593535688
34.675,29.075,-0.179443921889635
34.875,29.075,-0.129120084855025
48.525,29.075,-0.359037644139076
32.825,29.025,-0.0660877584006257
33.075,29.025,-0.0850845066620511
34.675,29.025,-0.17388068519157
34.825,29.025,-0.127166819028408
34.875,29.025,-0.120284092956062
48.575,29.025,-0.333997927134202
32.675,28.975,-0.0649236109977271
34.675,28.975,-0.162188641224759
34.825,28.975,-0.123609784847079
48.275,28.975,-0.363536752463601
48.775,28.975,-0.316185511704011
50.825,28.975,-0.1711493483683
32.675,28.925,-0.067016564280286
33.175,28.925,-0.104188372901872
34.825,28.925,-0.117116392839777
48.275,28.925,-0.343006282345413
50.825,28.925,-0.170686266575322
32.675,28.875,-0.0751568221280715
32.725,28.875,-0.06997468585824
33.175,28.875,-0.111253602442796
34.675,28.875,-0.148891737060801
34.725,28.875,-0.130311957391757
34.825,28.875,-0.107410252582934
50.825,28.875,-0.180471140852138
32.725,28.825,-0.0794656921330005
32.775,28.825,-0.0727117204502136
33.175,28.825,-0.114321251898238
34.625,28.825,-0.153113227542324
34.825,28.825,-0.0987418440851669
48.325,28.825,-0.29931959158195
48.775,28.825,-0.304803311736274
50.875,28.825,-0.176827201717776
32.775,28.775,-0.0839360584909319
32.825,28.775,-0.0728030707032722
33.175,28.775,-0.116701193495266
33.225,28.775,-0.119829683176382
34.625,28.775,-0.138291554432941
34.825,28.775,-0.0910105183002088
48.375,28.775,-0.287985258234061
32.825,28.725,-0.0812160159931918
33.225,28.725,-0.123094885357034
34.625,28.725,-0.125604849575624
34.775,28.725,-0.0827359498933666
34.825,28.725,-0.0777354899581679
48.625,28.725,-0.302416313884957
32.825,28.675,-0.0881537504875529
33.175,28.675,-0.117939820437438
33.225,28.675,-0.122400396310907
34.575,28.675,-0.124154175855367
34.625,28.675,-0.108417723115189
34.775,28.675,-0.0720629531205272
48.625,28.675,-0.297721544182761
48.675,28.675,-0.296691364362397
32.875,28.625,-0.0849705830380034
33.175,28.625,-0.106295437606933
33.225,28.625,-0.11452346670606
34.575,28.625,-0.10375130543803
34.775,28.625,-0.0610158265630866
48.425,28.625,-0.266169125659395
48.625,28.625,-0.281057810631567
32.875,28.575,-0.0869793878794959
32.925,28.575,-0.0829057588990101
33.175,28.575,-0.0970150205179779
33.225,28.575,-0.100244864684898
34.575,28.575,-0.0942518437961844
34.775,28.575,-0.0523028329923285
32.925,28.525,-0.0787024207590236
32.975,28.525,-0.0748924281204703
33.225,28.525,-0.095575555259777
34.525,28.525,-0.101144382967787
34.775,28.525,-0.0477089779435018
34.825,28.525,-0.0400515389426419
129.575,28.525,-0.242277526293402
129.625,28.525,-0.25528433168591
129.675,28.525,-0.252961861741261
129.725,28.525,-0.255932224224857
-178.375,28.475,-0.136990847283438
-178.325,28.475,-0.135899488370924
-178.275,28.475,-0.135056013307048
32.975,28.475,-0.0731959785469106
33.025,28.475,-0.0704754884960054
33.325,28.475,-0.100326737413234
34.475,28.475,-0.119949011894914
34.525,28.475,-0.108799428572947
34.775,28.475,-0.046188713444445
129.475,28.475,-0.217518683085497
129.525,28.475,-0.233293795591494
129.575,28.475,-0.248232893344036
129.725,28.475,-0.252978025478549
-178.375,28.425,-0.131758250981574
-178.325,28.425,-0.130343191983835
-178.275,28.425,-0.131020703210758
33.025,28.425,-0.0713897935226383
33.075,28.425,-0.0754900919072205
33.325,28.425,-0.112059141118942
34.475,28.425,-0.124749722654022
34.725,28.425,-0.0547063110377852
48.525,28.425,-0.236649658877071
129.375,28.425,-0.210778508388029
129.425,28.425,-0.210636793398385
129.475,28.425,-0.218971725932468
129.725,28.425,-0.243417716947691
129.975,28.425,-0.229765533612848
130.025,28.425,-0.221959151216253
130.075,28.425,-0.220032552135523
-178.375,28.375,-0.128551109620113
